filename,smiles
94413248.png,CC(C)N(CC(=O)N)CC(=O)NC[C@@H]1CCCC2=CC=CC=C12
29162557.png,CC1=C(C(=NN1C(C)C)C)/C=N\NC2=NC3=CC=CC=C3S2
83357241.png,CCC(CC)C1C2=C(CCN1)C=CC(=C2C)O
5784418.png,CCOC1=C(C=CC(=C1)/C=N\NC(=O)CN(C2=CC=CC=C2OC)S(=O)(=O)C3=CC=CC=C3)OCC4=CC=CC=C4
41583504.png,CC1=CC2=CC=CC=C2N1CC(=O)OCC(=O)NNC(=O)C3=CC=CS3
7274684.png,CC1=CC(=C(N1C2=CC3=C(C=C2)OCO3)C)C(=O)COC4=CC=C(C=C4)C(F)(F)F
95603266.png,CC1=CN(N=C1)C[C@H]2CCCCN2C(=O)COC3CCCCC3
6369130.png,CC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C(C(C(=O)C(=C2Br)C)(C)Br)Br
69018249.png,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)NC2=CN=C(C=C2)OC3=CC4=C(C=C3)OC(CC4)C5=CC=CC=C5F
40360183.png,CCOC1=CC=C(C=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)N[C@H](C)C4=CC=C(S4)Cl
90958437.png,CC.CCCC(C)CC.C1=CC=C(C(=C1)N2N=C3C=CC=CC3=N2)O
39111714.png,C[C@@H]1CN(C[C@H](O1)C)S(=O)(=O)CCNC(=O)CCCC2=NC(=O)C3=CC=CC=C3N2
25356705.png,CC[C@@]1(C(=O)N(C(=O)N1)CN(C)CC2=CC=CC=C2N3CCCCC3)C4=CC=C(C=C4)OC
98256101.png,CC1=CC(=C(C=C1)NC(=O)C2=C(N=C3N=C(NN3[C@@H]2C4=CC=C(C=C4)C(C)(C)C)SCC5=CC=CC=C5)C)C
5304364.png,CC1=C(C=C(C=C1)Cl)N2C3=C(C(C(=C2N)C#N)C4=CC=C(S4)[N+](=O)[O-])C(=O)CCC3
76814534.png,CN1CCC(CC1)(C(=O)OC)N2C(=O)C(=CC3=CC4=C(C=C3)N(N=C4)CC5=C(C=C(C=C5)Cl)C(F)(F)F)SC2=O
43575937.png,CCN(CC(=O)NC)S(=O)(=O)C1=C(C=C(C=C1)OC)N
36170462.png,CC1=NC(=CS1)COC2=CC=CC=C2/C=C/C(=O)O[C@@H](C)C(=O)NCC=C
52137691.png,CCN1C(=NN=C1SCC(=O)NC2=NOC(=C2)C)C(C)C
54056909.png,COC1=CC2=C(C=C1)C3(CCN(C3)CCCC(=O)C4=CC=C(C=C4)F)CC2O
20885862.png,CC1=C(C=C(C=C1)NC(=O)N2CCC3(CC2)N(C(=O)C4=CC=CC=C4O3)CC5=CC=CC=C5F)F
98899873.png,CN(C)[C@H](CNC(=O)C1=CC(=C(C=C1)OC)OC(F)F)C2=CC=C(C=C2)F
39001099.png,CN1C=NN=C1SC2=C(C=C(C=C2)C(=O)NC3=CC(=CC=C3)OCC4=CC(=CC=C4)C#N)[N+](=O)[O-]
42913091.png,C1CN(CCC1NS(=O)(=O)C2=CC=CC(=C2)C(F)(F)F)CC3=CC=CC=C3.Cl
27943525.png,C[C@]1(C(=O)N(C(=O)N1)CC(=O)NCCOC2=CC=CC=C2OC)C3=CC4=CC=CC=C4C=C3
92003855.png,CCCCCCC(=NNC(=O)C)C
23429856.png,CCCCCCCN1C(=O)/C(=C\C2=C(N(C(=O)C(=C2C)C#N)CCC)N3CCCC(C3)C)/SC1=S
76246089.png,CCCC1CC(NN1)C(=O)OCC2=NC(=NO2)C3=CC=C(C=C3)C(F)(F)F
76703947.png,CCOC(=O)CCC(C1CCCC1)OC(=O)C
50388906.png,CC1CCN(CC1)C(=O)C2=C(C(=CC=C2)NC(=O)C(C)N3CCC(CC3)C(=O)NC(C)C(=O)NC4=CC=CC=C4C(=O)NC5=CC(=CC=C5)F)C
17251392.png,CC1=CC(=NC2=C1C(=O)N(C(=O)N2C3=CC=CC=C3)CC4=C(OC(=N4)C5=CC=C(C=C5)C(C)C)C)C
39290003.png,CC1=C(N=NN1C2=CC=C(C=C2)[N+](=O)[O-])C(=O)N3CCC[C@H]3C4=NN=C5N4C=CC=C5
44533849.png,CC(CC1=CC=C(C=C1)CN(CC2=CC=C(C=C2)CC(C)NCCC3=CC(=CC=C3)Cl)C(=O)C)NCCC4=CC(=CC=C4)Cl
83302100.png,CCC(C1=NN/C(=C\C=C/2\C=CC=CC2=O)/O1)N
23173827.png,CCCCC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCCN)C(=O)O)N.CCCCC(C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC=O
95053390.png,CCOC1=CC=C(C=C1)CC(=O)N2CCC[C@@H]2C3=CC=C(C=C3)C
84244383.png,CCN(CC)C(=O)CCC1=CC=C(C=C1)C(=O)N(C)C
6570098.png,C[C@@]12CCCC(=C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)[C@@H]3CN(CCO)CC4=CC=CC=C4
21554048.png,C1COCCN1CC2=CC=CC=C2C3(C4=CC=CC=C4C(=O)O3)C5=CC=CC=C5
73254961.png,CC1=CC(=CC(=C1)C[N+]2=CN=C3C2C(=O)N(C(=O)N3C)C)C
12528521.png,CC1(C2C3CCC2C4(C3(CCC14O)C)C)C
91190528.png,COC1=C(C=CC(=C1)C=C(C#N)C(=O)C2=CC3=C(C=C2)OC(=O)N3)O
23302177.png,C1=CC=C(C=C1)C(CC(=O)CCl)S(=O)(=O)C2=CC=C(C=C2)C(=O)N
71838157.png,CN(CC1=CC=CC=C1)C(=O)C2C3=CC=CC=C3CCN2C(=O)C4CC4
84671281.png,C1C2=C(CN1)NN(C2=O)CCC(F)F
48823567.png,CC(C1=CC=C(C=C1)N2CCOC2=O)NC(=O)C3=CC(=NN3C4=CC=CC=C4)C5CC5
63283852.png,CC1=C(SC=N1)CNC(=O)NC(C)(C)C(=O)O
21599383.png,C1CC2=CC=CC3=C2C4=C(C=C3)C(=O)CC41
50070289.png,CC1=CC(=C(C=C1)NC(=O)C2=CC(=C(C=C2)C)NC(=O)C(C)N3CCC(CC3)C(=O)NCCC(=O)NC4=CC(=C(C=C4)Cl)C(=O)NC5CCCCC5)F
72781025.png,CCOC(=O)C(C)NP(=O)(OC1=CC=CC=C1)OCl
32071309.png,CC1=[N+](C=CN1)CC2=CC=CC(=C2)CNC(=O)CCSC3=CC=C(C=C3)F
62806905.png,C1CC(CCC1N)N(CC2=CC=CO2)C3CC3
24709824.png,CCN(CC(=C)C)C(=O)C1=CN=C(C=C1)Cl
10803350.png,COC1=CC(=CC(=C1OC)OC)C(=O)OC2=CC=CC=N2
75763522.png,C1CN(CCC1C(=O)C(C#N)C2=NC3=C(C=CC(=C3)Cl)C(=N2)[O-])C(=O)C4=CN=CC=C4
17197945.png,CC1=C(C=C(C=C1)NC(=O)CN2C3=CC(=C(C=C3C(=O)N(C2=O)C4=CC(=CC=C4)Cl)OC)OC)C
5834314.png,CN(C)CCN1C(/C(=C(/C2=CC=NC=C2)\O)/C(=O)C1=O)C3=CC(=CC=C3)[N+](=O)[O-]
8174328.png,C1=CC(=CC=C1CCNC(=O)COC(=O)C2=CC(=CC(=C2)F)F)Cl
16750173.png,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C
23603759.png,CCOC1=CC=C(C=C1)N(CC2=CC=CC=C2Cl)C3=NC4CS(=O)(=O)CC4S3
92691844.png,CCC1=CC=CC(=C1NC(=O)[C@@H]2CCCN(C2)C3=NN=C(C4=C(N(N=C43)C5=CC=CC=C5)C)C)C
43084496.png,CC(C)C(C)NS(=O)(=O)C1=C(C=CC(=C1)C(=O)O)OC
68949979.png,CCOC(=O)COC1=C(C=C2CCN3CC4=C(C(=CC(=C4CC3C2=C1)Cl)OC)OCC(=O)OCC)OC
63363702.png,C1CC(COC1)NCC(=O)NC2=CC=C(C=C2)Br
1961950.png,C1CN(CCN1C2=CC=C(C=C2)F)C3=NC(=O)/C(=C\C4=CC=C(C=C4)Cl)/S3
